MINN.HUB
Day Ahead, Real Time, NN Output, Profit/Loss

Day1
25.67, 25.23, 26.2934, -0.44
23.07, 21.72, 25.0385, -1.35
22.83, 22.95, 24.5693, 0.12
22.76, 21.54, 27.571, -1.22
23.46, 26.41, 25.7744, 2.95
28.82, 25.57, 28.9862, -3.25
36.73, 24.02, 45.6156, -12.71
43.16, 29.26, 38.2187, 13.9
46.33, 34.77, 34.8602, 11.56
47.45, 36.74, 51.1125, -10.71
48.49, 42.44, 39.6504, 6.05
48.94, 72.27, 40.6009, -23.33
48.02, 36.98, 37.3109, 11.04
48.53, 40.46, 39.5109, 8.07
48.78, 49.15, 36.9185, -0.37
48.09, 50.45, 37.8246, -2.36
43.11, 50.44, 32.4153, -7.33
38.72, 49.8, 32.4028, -11.08
37.72, 46.54, 29.9548, -8.82
44.87, 33.2, 45.6766, -11.67
48.29, 49.54, 37.0546, -1.25
39.11, 29.19, 31.9243, 9.92
30.2, 25.88, 28.1894, 4.32
27.35, 28.28, 28.0949, 0.93

Day2
24.47, 22.51, 26.3046, -1.96
22.85, 22.98, 25.0532, 0.13
22.68, 23.2, 24.5732, 0.52
22.55, 22.48, 27.5605, -0.07
22.8, 24.04, 25.7842, 1.24
27.26, 56.5, 28.9746, 29.24
35.35, 22.35, 45.6164, -13
42.5, 27.91, 38.2088, 14.59
42.4, 29.51, 34.8387, 12.89
45.05, 33.2, 51.1058, -11.85
46.87, 31.96, 39.6409, 14.91
46.41, 32.51, 40.6034, 13.9
47.19, 31.15, 37.2887, 16.04
47.94, 29.14, 39.4954, 18.8
49.02, 30.08, 36.921, 18.94
47.25, 20.16, 37.8079, 27.09
45.85, 23.85, 32.4104, 22
41.08, 20.54, 32.3846, 20.54
36.83, 23.83, 29.9685, 13
43.49, 24.84, 45.6811, -18.65
45.93, 22.89, 37.0763, 23.04
37.25, 21.7, 31.9217, 15.55
29.91, 17.53, 28.1879, 12.38
25.22, 11.83, 28.097, -13.39

Day3
23.18, 6.31, 26.3046, -16.87
22.21, 14.31, 25.0542, -7.9
21.9, 2.6, 24.5734, -19.3
21.74, 5.26, 27.5605, -16.48
22.57, 15.78, 25.7845, -6.79
23.64, 22.31, 28.9742, -1.33
33.58, 28.14, 45.6173, -5.44
39.8, 41.69, 38.2079, -1.89
