MINN.HUB
Day Ahead, Real Time, NN Output

Day1
25.67, 25.23, 28.2452730762
23.07, 21.72, 30.4167215328
22.83, 22.95, 27.5069324512
22.76, 21.54, 31.8828203125
23.46, 26.41, 19.2630375533
28.82, 25.57, 24.3452303324
36.73, 24.02, 70.6312724331
43.16, 29.26, 31.4735461837
46.33, 34.77, 27.4141711098
47.45, 36.74, 64.2032518391
48.49, 42.44, 39.6137849445
48.94, 72.27, 32.4722083389
48.02, 36.98, 42.1144326521
48.53, 40.46, 50.5276526733
48.78, 49.15, 38.330418465
48.09, 50.45, 33.6868075445
43.11, 50.44, 34.5867725022
38.72, 49.8, 34.3708667679
37.72, 46.54, 29.5912841216
44.87, 33.2, 32.6759274913
48.29, 49.54, 40.4180545806
39.11, 29.19, 40.9669404691
30.2, 25.88, 34.4540211653
27.35, 28.28, 29.3152294428

Day2
24.47, 22.51, 27.797870095
22.85, 22.98, 31.1268869146
22.68, 23.2, 28.3637366502
22.55, 22.48, 31.9075291764
22.8, 24.04, 18.9973522959
27.26, 56.5, 24.1218039591
35.35, 22.35, 70.5133489406
42.5, 27.91, 31.0681600888
42.4, 29.51, 27.0027641712
45.05, 33.2, 64.0149136897
46.87, 31.96, 39.779961967
46.41, 32.51, 32.5168610878
47.19, 31.15, 42.0850411434
47.94, 29.14, 50.7922500605
49.02, 30.08, 38.4163616381
47.25, 20.16, 33.5209748333
45.85, 23.85, 34.5220116867
41.08, 20.54, 34.3068772661
36.83, 23.83, 29.7903842913
43.49, 24.84, 32.9077891748
45.93, 22.89, 40.1423551286
37.25, 21.7, 41.8306586773
29.91, 17.53, 34.747503171
25.22, 11.83, 29.4866423091

Day3
23.18, 6.31, 27.8749273601
22.21, 14.31, 29.6891696796
21.9, 2.6, 26.2496246983
21.74, 5.26, 31.4146524935
22.57, 15.78, 20.5821833908
23.64, 22.31, 24.6112442214
33.58, 28.14, 70.5109102957
39.8, 41.69, 33.0953960373
42.71, 27.65, 28.3075123963
46.54, 28.45, 64.279725423
45.07, 36.28, 39.1900767609
43.11, 30.94, 33.4362760565
43.72, 33.98, 41.5145202007
43.55, 30.68, 49.360238797
41.41, 27.01, 38.3218052482
39.15, 27.26, 34.1283981915
37.31, 25.95, 33.8472346212
35.16, 26.0, 33.8302483079
